date,open,high,low,close,volume,volatility,return_1,lag_1,lag_2,ma_4,target_next_close
2006-05-05,82.59,83.55,82.0,82.98,24540000.0,1.5499999999999972,0.007772649987855207,82.34,81.66,82.24000000000001,82.39
2006-05-12,82.6,83.69,82.3,82.39,22319900.0,1.3900000000000006,-0.007110147023379199,82.98,82.34,82.3425,80.28
2006-05-19,81.8,83.25,79.51,80.28,28629900.0,3.739999999999995,-0.025609904114576976,82.39,82.98,81.9975,80.75
2006-05-26,79.94,81.3,79.0,80.75,26222700.0,2.299999999999997,0.005854509217738002,80.28,82.39,81.6,79.52
2006-06-02,80.35,80.96,79.15,79.52,23532800.0,1.809999999999988,-0.015232198142414943,80.75,80.28,80.735,78.01
2006-06-09,79.1,80.74,76.75,78.01,40341000.0,3.989999999999995,-0.01898893360160958,79.52,80.75,79.64,77.95
2006-06-16,77.68,78.78,76.82,77.95,33150500.0,1.960000000000008,-0.0007691321625432623,78.01,79.52,79.0575,77.1
2006-06-23,78.06,78.56,76.94,77.1,27070000.0,1.6200000000000045,-0.01090442591404761,77.95,78.01,78.145,76.82
2006-06-30,77.04,77.93,76.06,76.82,26797500.0,1.8700000000000045,-0.0036316472114137355,77.1,77.95,77.47,76.42
2006-07-07,77.54,78.53,76.12,76.42,18199800.0,2.4099999999999966,-0.005206977349648367,76.82,77.1,77.0725,73.57
2006-07-14,76.18,76.83,73.37,73.57,37325800.0,3.4599999999999937,-0.03729390211986405,76.42,76.82,75.97749999999999,74.86
2006-07-21,73.34,77.06,72.73,74.86,50614500.0,4.329999999999998,0.017534321054777813,73.57,76.42,75.41749999999999,76.96
2006-07-28,74.92,77.3,74.92,76.96,25666400.0,2.3799999999999955,0.02805236441357195,74.86,73.57,75.4525,75.91
2006-08-04,76.44,77.5,74.9,75.91,20900500.0,2.5999999999999943,-0.013643451143451113,76.96,74.86,75.32499999999999,75.48
2006-08-11,75.63,76.28,75.05,75.48,19054700.0,1.230000000000004,-0.00566460281912784,75.91,76.96,75.8025,79.9
